(-0.4738641000, 1.1798570000, 0.5168107000),(0.0326228700, -0.1390047000, -0.0089316430, 0.9897140000),2/19/2021 11:00:17 AM
(-0.4738641000, 1.1798570000, 0.5168107000),(0.0326228700, -0.1390047000, -0.0089316430, 0.9897140000),2/19/2021 11:00:17 AM
(-0.4738641000, 1.1798570000, 0.5168107000),(0.0326228700, -0.1390047000, -0.0089316430, 0.9897140000),2/19/2021 11:00:18 AM
(-0.4776003000, 1.1805320000, 0.5155171000),(0.0228240100, -0.1435643000, -0.0074585150, 0.9893497000),2/19/2021 11:00:19 AM
(-0.4739743000, 1.1810150000, 0.5180348000),(0.0258150500, -0.1453251000, -0.0114215800, 0.9889812000),2/19/2021 11:00:19 AM
(-0.4729764000, 1.1796590000, 0.5202228000),(0.0282203100, -0.1427369000, -0.0054649470, 0.9893432000),2/19/2021 11:00:19 AM
(-0.4742661000, 1.1810730000, 0.5181205000),(0.0251290800, -0.1451809000, -0.0086238570, 0.9890484000),2/19/2021 11:00:19 AM
(-0.4737174000, 1.1800600000, 0.5175996000),(0.0263122600, -0.1455346000, -0.0097274490, 0.9889554000),2/19/2021 11:00:19 AM
(-0.4748574000, 1.1813330000, 0.5156175000),(0.0232549300, -0.1445202000, -0.0064862770, 0.9892073000),2/19/2021 11:00:19 AM
(-0.4747215000, 1.1808860000, 0.5164795000),(0.0243388600, -0.1447226000, -0.0088001750, 0.9891338000),2/19/2021 11:00:19 AM
(-0.4745435000, 1.1808190000, 0.5173429000),(0.0244555700, -0.1441330000, -0.0093673860, 0.9892117000),2/19/2021 11:00:19 AM
(-0.4740203000, 1.1805510000, 0.5172640000),(0.0247136400, -0.1433514000, -0.0088976170, 0.9893233000),2/19/2021 11:00:19 AM
(-0.4743444000, 1.1811040000, 0.5165668000),(0.0251840000, -0.1436639000, -0.0088180420, 0.9892668000),2/19/2021 11:00:19 AM
(-0.4742935000, 1.1810230000, 0.5160546000),(0.0252683500, -0.1435990000, -0.0084514720, 0.9892772000),2/19/2021 11:00:19 AM
(-0.4742863000, 1.1807410000, 0.5163904000),(0.0255944900, -0.1440473000, -0.0079481090, 0.9892079000),2/19/2021 11:00:19 AM
(-0.4741833000, 1.1811090000, 0.5163100000),(0.0255128800, -0.1444270000, -0.0079662400, 0.9891545000),2/19/2021 11:00:19 AM
(-0.4739069000, 1.1805370000, 0.5169502000),(0.0250857800, -0.1440613000, -0.0081412790, 0.9892173000),2/19/2021 11:00:19 AM
(-0.4739055000, 1.1808100000, 0.5169712000),(0.0248372900, -0.1438969000, -0.0083943370, 0.9892454000),2/19/2021 11:00:19 AM
(-0.4739204000, 1.1811350000, 0.5167632000),(0.0236602400, -0.1426732000, -0.0083512570, 0.9894518000),2/19/2021 11:00:19 AM
(-0.4729059000, 1.1816480000, 0.5173989000),(0.0201798000, -0.1363592000, -0.0079673180, 0.9904219000),2/19/2021 11:00:19 AM
(-0.4701993000, 1.1826100000, 0.5182661000),(0.0137119400, -0.1174720000, -0.0037059910, 0.9929746000),2/19/2021 11:00:19 AM
(-0.4634008000, 1.1839270000, 0.5209764000),(0.0018210820, -0.0743537200, 0.0016805060, 0.9972289000),2/19/2021 11:00:19 AM
(-0.4559272000, 1.1855640000, 0.5221246000),(-0.0033710520, -0.0290071200, 0.0057855220, 0.9995568000),2/19/2021 11:00:19 AM
(-0.4461814000, 1.1888160000, 0.5235086000),(-0.0168454700, 0.0285994600, 0.0064432510, 0.9994283000),2/19/2021 11:00:20 AM
(-0.4387007000, 1.1900110000, 0.5248850000),(-0.0285970600, 0.0697497500, 0.0024002980, 0.9971517000),2/19/2021 11:00:20 AM
(-0.4315654000, 1.1896120000, 0.5266099000),(-0.0342163500, 0.1055978000, -0.0028024890, 0.9938161000),2/19/2021 11:00:20 AM
(-0.4220773000, 1.1905460000, 0.5265306000),(-0.0420219500, 0.1508557000, -0.0075661500, 0.9876333000),2/19/2021 11:00:20 AM
(-0.4100591000, 1.1912700000, 0.5255774000),(-0.0530092800, 0.2064199000, -0.0120522900, 0.9769522000),2/19/2021 11:00:20 AM
(-0.4002962000, 1.1903990000, 0.5236024000),(-0.0596777800, 0.2497825000, -0.0185413200, 0.9662834000),2/19/2021 11:00:20 AM
(-0.3915584000, 1.1880910000, 0.5210687000),(-0.0646802200, 0.2889913000, -0.0240392700, 0.9548417000),2/19/2021 11:00:20 AM
(-0.3839589000, 1.1855850000, 0.5183839000),(-0.0663042400, 0.3245032000, -0.0255747300, 0.9432112000),2/19/2021 11:00:20 AM
(-0.3758919000, 1.1829120000, 0.5160350000),(-0.0660157800, 0.3473986000, -0.0396445800, 0.9345504000),2/19/2021 11:00:20 AM
(-0.3716908000, 1.1817750000, 0.5153653000),(-0.0623089000, 0.3554424000, -0.0436135900, 0.9315987000),2/19/2021 11:00:20 AM
(-0.3685794000, 1.1811160000, 0.5145123000),(-0.0574343000, 0.3542420000, -0.0490508600, 0.9320987000),2/19/2021 11:00:20 AM
(-0.3673892000, 1.1816080000, 0.5138816000),(-0.0554339000, 0.3502433000, -0.0506979000, 0.9336415000),2/19/2021 11:00:20 AM
(-0.3680986000, 1.1824760000, 0.5143565000),(-0.0601402200, 0.3364018000, -0.0545467100, 0.9382119000),2/19/2021 11:00:20 AM
(-0.3695198000, 1.1831890000, 0.5145420000),(-0.0634676700, 0.3259990000, -0.0545213300, 0.9416602000),2/19/2021 11:00:20 AM
(-0.3709927000, 1.1837040000, 0.5144024000),(-0.0670191100, 0.3188838000, -0.0579755000, 0.9436421000),2/19/2021 11:00:20 AM
(-0.3720151000, 1.1842840000, 0.5140368000),(-0.0698329600, 0.3183019000, -0.0551275300, 0.9438052000),2/19/2021 11:00:20 AM
(-0.3715679000, 1.1841770000, 0.5127466000),(-0.0702848800, 0.3258771000, -0.0540533000, 0.9412451000),2/19/2021 11:00:20 AM
(-0.3686532000, 1.1844580000, 0.5099370000),(-0.0702640000, 0.3441328000, -0.0524619700, 0.9348173000),2/19/2021 11:00:20 AM
(-0.3640805000, 1.1854950000, 0.5051208000),(-0.0748355200, 0.3759395000, -0.0502385600, 0.9222502000),2/19/2021 11:00:20 AM
(-0.3572422000, 1.1866550000, 0.4994497000),(-0.0829740800, 0.4181644000, -0.0520508400, 0.9030750000),2/19/2021 11:00:20 AM
(-0.3502724000, 1.1860440000, 0.4905608000),(-0.0866371900, 0.4663377000, -0.0526093600, 0.8787806000),2/19/2021 11:00:20 AM
(-0.3457128000, 1.1852320000, 0.4827801000),(-0.0900710200, 0.5013139000, -0.0598798400, 0.8584788000),2/19/2021 11:00:20 AM
(-0.3425319000, 1.1852340000, 0.4754736000),(-0.0971768300, 0.5290261000, -0.0609591500, 0.8408163000),2/19/2021 11:00:20 AM
(-0.3403018000, 1.1851890000, 0.4666073000),(-0.1075955000, 0.5576273000, -0.0648822600, 0.8205274000),2/19/2021 11:00:21 AM
(-0.3401411000, 1.1845460000, 0.4563023000),(-0.1167565000, 0.5847674000, -0.0761827200, 0.7991315000),2/19/2021 11:00:21 AM
(-0.3416653000, 1.1846440000, 0.4499396000),(-0.1232270000, 0.5946116000, -0.0822978200, 0.7902400000),2/19/2021 11:00:21 AM
(-0.3434870000, 1.1854930000, 0.4450203000),(-0.1318027000, 0.5980142000, -0.0838282500, 0.7861170000),2/19/2021 11:00:21 AM
(-0.3459405000, 1.1866590000, 0.4412316000),(-0.1396875000, 0.5972384000, -0.0827797100, 0.7854561000),2/19/2021 11:00:21 AM
(-0.3494140000, 1.1892900000, 0.4365021000),(-0.1474283000, 0.5934133000, -0.0751110000, 0.7877081000),2/19/2021 11:00:21 AM
(-0.3509843000, 1.1898280000, 0.4340508000),(-0.1519041000, 0.5904947000, -0.0745150400, 0.7891062000),2/19/2021 11:00:21 AM
(-0.3519267000, 1.1898730000, 0.4311621000),(-0.1554160000, 0.5902452000, -0.0771695000, 0.7883536000),2/19/2021 11:00:21 AM
(-0.3522415000, 1.1894760000, 0.4273170000),(-0.1590985000, 0.5942138000, -0.0800601800, 0.7843392000),2/19/2021 11:00:21 AM
